taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
9102978	Lamprodrilus glandulosus Michaelsen, 1901	9102978	Lamprodrilus glandulosus Michaelsen, 1901	17	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Lamprodrilus	5194009	Lamprodrilus glandulosus	9102978	
9219432	Eremidrilus elegans Fend & Rodriguez, 2003	9219432	Eremidrilus elegans Fend & Rodriguez, 2003	30	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Eremidrilus	4812145	Eremidrilus elegans	9219432	
4411005	Trichodrilus cernosvitovi Hrabĕ, 1938	4411005	Trichodrilus cernosvitovi Hrabĕ, 1938	9	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Trichodrilus	2307987	Trichodrilus cernosvitovi	4411005	
9542445	Styloscolex kolmakovi Burow, 1931	9542445	Styloscolex kolmakovi Burow, 1931	3	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Styloscolex	2307967	Styloscolex kolmakovi	9542445	
7407480	Eclipidrilus macphersonae Fend & Lenat, 2012	7407480	Eclipidrilus macphersonae Fend & Lenat, 2012	9	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Eclipidrilus	2308000	Eclipidrilus macphersonae	7407480	
9190377	Lamprodrilus satyriscus Michaelsen, 1901	9190377	Lamprodrilus satyriscus Michaelsen, 1901	16	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Lamprodrilus	5194009	Lamprodrilus satyriscus	9190377	
9553427	Bythonomus asiaticus (Michaelsen, 1901)	9081714	Stylodrilus asiaticus (Michaelsen, 1901)	10	SPECIES	SYNONYM	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Stylodrilus	2308011	Stylodrilus asiaticus	9081714	
9943612	BOLD:AAX0652	9943612	BOLD:AAX0652	1	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Lamprodrilus	5194009	Lamprodrilus wagneri	5194010	
10043039	BOLD:AAN6780	10043039	BOLD:AAN6780	1	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964					
4410993	Trichodrilus strandi Hrabĕ, 1936	4410993	Trichodrilus strandi Hrabĕ, 1936	42	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Trichodrilus	2307987	Trichodrilus strandi	4410993	
9281496	Rhynchelmis minimaris Semernoy, 2004	9281496	Rhynchelmis minimaris Semernoy, 2004	3	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Rhynchelmis	2307973	Rhynchelmis minimaris	9281496	
9659111	Stylodrilus zschokkei Bretscher, 1905	2308015	Stylodrilus heringianus Claparède, 1862	3	SPECIES	SYNONYM	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Stylodrilus	2308011	Stylodrilus heringianus	2308015	
10567816	BOLD:ACP9910	10567816	BOLD:ACP9910	2	UNRANKED	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Rhynchelmis	2307973	Rhynchelmis gustafsoni	8768375	
4410991	Trichodrilus cantabrigiensis (Beddard, 1908)	4410991	Trichodrilus cantabrigiensis (Beddard, 1908)	1	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Trichodrilus	2307987	Trichodrilus cantabrigiensis	4410991	
9407890	Kurenkovia magna Sokolskaya, 1969	9407890	Kurenkovia magna Sokolskaya, 1969	3	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Kurenkovia	3267525	Kurenkovia magna	9407890	
4411027	Anastylus parvus Hrabě & Černosvitov, 1927	4411026	Stylodrilus parvus (Hrabě & Černosvitov, 1927)	15	SPECIES	SYNONYM	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Stylodrilus	2308011	Stylodrilus parvus	4411026	
9333295	Stylodrilus wahkeenensis Rodriguez & Coates, 1996	9333295	Stylodrilus wahkeenensis Rodriguez & Coates, 1996	1	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Stylodrilus	2308011	Stylodrilus wahkeenensis	9333295	
4410982	Trichodrilus diversisetosus Rodriguez & Giani, 1986	4410982	Trichodrilus diversisetosus Rodriguez & Giani, 1986	3	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Trichodrilus	2307987	Trichodrilus diversisetosus	4410982	
4410974	Trichodrilus lengersdorfi Michaelsen, 1933	2307990	Trichodrilus allobrogum Claparède, 1862	4	SPECIES	SYNONYM	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Trichodrilus	2307987	Trichodrilus allobrogum	2307990	
5958870	Trichodrilus pauper Finogenova, 1973	5958870	Trichodrilus pauper Finogenova, 1973	3	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Clitellata	255	Lumbriculida	473	Lumbriculidae	6964	Trichodrilus	2307987	Trichodrilus pauper	5958870	
