Group_name,Species,SpeciesID,Fct_group,Comment,Ecogroup_Phillips,Acc_name,Species_Briones,Ecogroup_Briones,Species_final,Genus,Percent_Epigeic,Percent_Anecic,Percent_Endogeic,Ecogroup_Bottinelli,Ecogroup
Earthworms,Dendrobaena ruffoi,Dendr_ruff,NA,NA,NA,Dendrobaena ruffoi,NA,NA,Dendrobaena ruffoi,Dendrobaena,NA,NA,NA,NA,NA
Earthworms,Dendrobaena schmidti schmidti,Dendr_schm,NA,NA,Endogeic,Dendrobaena schmidti schmidti,Dendrobaena schmidti schmidti,Endogeic,Dendrobaena schmidti schmidti,Dendrobaena,NA,NA,NA,NA,Endogeic
Earthworms,Dendrobaena schmidti tellermanica,Dendr_schm,NA,NA,Endogeic,Dendrobaena schmidti tellermanica,Dendrobaena schmidti tellermanica,Endogeic,Dendrobaena schmidti tellermanica,Dendrobaena,NA,NA,NA,NA,Endogeic
Earthworms,Dendrobaena succincta,Dendr_succ,NA,NA,NA,Dendrobaena succincta,NA,NA,Dendrobaena succincta,Dendrobaena,NA,NA,NA,NA,NA
Earthworms,Dendrobaena vejdovskyi,Dendr_vejd,NA,NA,NA,Dendrobaena vejdovskyi,Dendrobaena vejdovskyi,Epigeic,Dendrobaena vejdovskyi,Dendrobaena,NA,NA,NA,NA,Epigeic
Earthworms,Dendrobaena veneta,Dendr_vene,NA,NA,Epigeic,Dendrobaena veneta,Dendrobaena veneta,Epigeic,Dendrobaena veneta,Dendrobaena,NA,NA,NA,NA,Epigeic
Earthworms,Dendrodrilus rubidus,Dendr_rubi,NA,NA,Epigeic,Dendrodrilus rubidus,Dendrodrilus rubidus,Epigeic,Dendrodrilus rubidus,Dendrodrilus,93,7,0,Epigeic,Epigeic
Earthworms,Dendrodrilus rubidus subrubicundus,Dendr_rubi,NA,NA,Epigeic,Dendrodrilus rubidus subrubicundus,Dendrodrilus rubidus subrubicundus,Epigeic,Dendrodrilus rubidus subrubicundus,Dendrodrilus,93,7,0,Epigeic,Epigeic
Earthworms,Dendrodrilus rubidus tenuis,Dendr_rubi,NA,NA,Epigeic,Dendrodrilus rubidus tenuis,Dendrodrilus rubidus tenuis,Epigeic,Dendrodrilus rubidus tenuis,Dendrodrilus,93,7,0,Epigeic,Epigeic
Earthworms,Dichogaster affinis,Dicho_affi,NA,NA,Epi-Endogeic,Dichogaster affinis,NA,NA,Dichogaster affinis,Dichogaster,NA,NA,NA,NA,Epi-Endogeic
