"IUCNcat","SSP","sumCell","coverage","coverage_km2","SpeciesID"
"Not.Applicable","ssp126",384.441097962672,0.0047,1922.21,"Dendr_octa"
"Not.Assigned","ssp126",2429.26848487596,0.0299,12146.34,"Dendr_octa"
"Not.Reported","ssp126",16583.4075910106,0.2041,82917.04,"Dendr_octa"
"Outside.PA","ssp126",43990.9667470003,0.5414,219954.83,"Dendr_octa"
"Presence","ssp126",81260,1,406300,"Dendr_octa"
"Protected","ssp126",17871.9160791505,0.2199,89359.58,"Dendr_octa"
"Unprotected","ssp126",63388.0839208495,0.7801,316940.42,"Dendr_octa"
"V","ssp126",13393.3504507197,0.1648,66966.75,"Dendr_octa"
"VI","ssp126",355.881892258159,0.0044,1779.41,"Dendr_octa"
"Ia","ssp370",130.253578377745,0.0016,651.27,"Dendr_octa"
"Ib","ssp370",230.269267431507,0.0028,1151.35,"Dendr_octa"
"II","ssp370",1183.09845758433,0.0146,5915.49,"Dendr_octa"
"III","ssp370",51.0221291786664,6e-04,255.11,"Dendr_octa"
"IV","ssp370",2469.07382150212,0.0305,12345.37,"Dendr_octa"
"Not.Applicable","ssp370",392.56843703057,0.0048,1962.84,"Dendr_octa"
"Not.Assigned","ssp370",2569.10499652675,0.0317,12845.52,"Dendr_octa"
"Not.Reported","ssp370",16530.9078234108,0.2042,82654.54,"Dendr_octa"
"Outside.PA","ssp370",43700.7404705904,0.5397,218503.7,"Dendr_octa"
"Presence","ssp370",80971,1,404855,"Dendr_octa"
"Protected","ssp370",17777.6782724414,0.2196,88888.39,"Dendr_octa"
"Unprotected","ssp370",63193.3217275586,0.7804,315966.61,"Dendr_octa"
"V","ssp370",13361.8616821647,0.165,66809.31,"Dendr_octa"
"VI","ssp370",352.099336202347,0.0043,1760.5,"Dendr_octa"
"Ia","ssp585",132.344007149756,0.0016,661.72,"Dendr_octa"
"Ib","ssp585",246.176407072949,0.003,1230.88,"Dendr_octa"
"II","ssp585",1175.98944739467,0.0145,5879.95,"Dendr_octa"
"III","ssp585",49.6641731561683,6e-04,248.32,"Dendr_octa"
"IV","ssp585",2424.59001862737,0.0299,12122.95,"Dendr_octa"
"Not.Applicable","ssp585",401.646844074423,0.0049,2008.23,"Dendr_octa"
"Not.Assigned","ssp585",2574.1825513234,0.0317,12870.91,"Dendr_octa"
"Not.Reported","ssp585",16652.0201679892,0.2052,83260.1,"Dendr_octa"
"Outside.PA","ssp585",43787.1787507607,0.5395,218935.89,"Dendr_octa"
"Presence","ssp585",81161,1,405805,"Dendr_octa"
"Protected","ssp585",17745.9716858523,0.2187,88729.86,"Dendr_octa"
"Unprotected","ssp585",63415.0283141477,0.7813,317075.14,"Dendr_octa"
