Species,SpeciesID,Fct_group,Comment,Ecogroup_Phillips,Acc_name,Percent_Epigeic,Percent_Anecic,Percent_Endogeic,Ecogroup_Bottinelli,Ecogroup,kingdom,phylum,class,order,suborder,family,genus,Records,NumCells_2km,NumCells_1km
Proctodrilus antipae,Proct_anti,NA,NA,Endogeic,Proctodrilus antipae,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Proctodrilus,97,40,40
Proctodrilus antipai,Proct_anti,NA,NA,NA,Proctodrilus antipai,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Proctodrilus,97,40,40
Proctodrilus tuberculatus,Proct_tube,NA,NA,Endogeic,Proctodrilus tuberculatus,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Proctodrilus,45,21,23
Prosellodrilus albus,Prose_albu,NA,NA,NA,Prosellodrilus albus,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Prosellodrilus,2,1,1
Prosellodrilus amplisetosus,Prose_ampl,NA,NA,NA,Prosellodrilus amplisetosus,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Prosellodrilus,6,2,2
Prosellodrilus amplisetosus amplisetosus,Prose_ampl,NA,NA,Endogeic,Prosellodrilus amplisetosus amplisetosus,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Prosellodrilus,6,2,2
Prosellodrilus praticola,Prose_prat,NA,NA,Endogeic,Prosellodrilus praticola,0,0,100,Endogeic,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Prosellodrilus,9,3,3
Reginaldia omodeoi,Regin_omod,NA,NA,Endogeic,Reginaldia omodeoi,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Acanthodrilidae,Reginaldia,11,0,0
Rhiphaeodrilus diplotetrathecus,Rhiph_dipl,NA,Family from GBIF,Epi-Endogeic,Rhiphaeodrilus diplotetrathecus,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Rhiphaeodrilus,11,0,0
Righiodrilus gurupi,Righi_guru,NA,Family from GBIF,NA,Righiodrilus gurupi,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Glossoscolecidae,Righiodrilus,4,0,0
Satchellius alvaradoi,Satch_alva,NA,NA,Epigeic,Satchellius alvaradoi,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Satchellius,1,1,1
Satchellius madeirensis,Satch_made,NA,NA,Epi-Endogeic,Satchellius madeirensis,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Satchellius,28,20,20
Satchellius mammalis,Satch_mamm,NA,NA,Epigeic,Satchellius mammalis,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Satchellius,413,204,221
Scherotheca aquitania,Scher_aqui,NA,NA,Anecic,Scherotheca aquitania,0,94,6,Anecic,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Scherotheca,19,7,7
Scherotheca hexatheca,Scher_hexa,NA,NA,NA,Scherotheca hexatheca,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Scherotheca,1,1,1
Scherotheca targionii,Scher_targ,NA,NA,Anecic,Scherotheca targionii,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Scherotheca,5,3,4
Sparganophilus tamesis,Sparg_tame,NA,NA,NA,Sparganophilus tamesis,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Sparganophilidae,Sparganophilus,4,1,1
Spenceriella montana,Spenc_mont,NA,Family from GBIF,Endogeic,Spenceriella montana,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Megascolecidae,Spenceriella,31,0,0
Stuhlmannia palustris,Stuhl_palu,NA,NA,Endogeic,Stuhlmannia palustris,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Eudrilidae,Stuhlmannia,8,0,0
Stuhlmannia zielae,Stuhl_ziel,NA,NA,Endogeic,Stuhlmannia zielae,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Eudrilidae,Stuhlmannia,7,0,0
Urobenus brasiliensis,Urobe_bras,NA,NA,Epi-Endogeic,Urobenus brasiliensis,NA,NA,NA,NA,Epi-Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Rhinodrilidae,Urobenus,1,0,0
Vignysa popi,Vigny_popi,NA,NA,NA,Vignysa popi,0,4,96,Endogeic,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Hormogastridae,Vignysa,1,1,1
Xana omodeoi,Xana_omod,NA,NA,NA,Xana omodeoi,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Hormogastridae,Xana,1,1,1
Zophoscolex chitae,Zopho_chit,NA,NA,Endogeic,Zophoscolex chitae,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Zophoscolex,1,1,1
Zophoscolex ibericus,Zopho_iber,NA,NA,Endogeic,Zophoscolex ibericus,NA,NA,NA,NA,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Zophoscolex,44,2,2
