"IUCNcat","sumCell","coverage","coverage_km2","SpeciesID"
"Not.Applicable",406.950096208444,0.0046,2034.75,"Octol_tyrt"
"Not.Assigned",2501.58666874654,0.0285,12507.93,"Octol_tyrt"
"Not.Reported",14595.7628701785,0.1665,72978.81,"Octol_tyrt"
"Outside.PA",56049.1533169995,0.6394,280245.77,"Octol_tyrt"
"Presence",87659,1,438295,"Octol_tyrt"
"Protected",14105.547047867,0.1609,70527.74,"Octol_tyrt"
"Unprotected",73553.452952133,0.8391,367767.26,"Octol_tyrt"
"V",11569.9485935113,0.132,57849.74,"Octol_tyrt"
"VI",121.410355163639,0.0014,607.05,"Octol_tyrt"
"Ia",7.88899569690147,2e-04,39.44,"Satch_mamm"
"Ib",0.193218631087802,0,0.97,"Satch_mamm"
"II",59.1005859059833,0.0019,295.5,"Satch_mamm"
"III",10.1768798105054,3e-04,50.88,"Satch_mamm"
"IV",851.110024022512,0.0267,4255.55,"Satch_mamm"
"Not.Applicable",134.372569859022,0.0042,671.86,"Satch_mamm"
"Not.Assigned",288.271452556495,0.009,1441.36,"Satch_mamm"
"Not.Reported",3629.12589352704,0.1139,18145.63,"Satch_mamm"
"Outside.PA",22869.4648913499,0.7178,114347.32,"Satch_mamm"
"Presence",31860,1,159300,"Satch_mamm"
"Protected",4938.76519270753,0.155,24693.83,"Satch_mamm"
"Unprotected",26921.2348072925,0.845,134606.17,"Satch_mamm"
"V",3945.0802900839,0.1238,19725.4,"Satch_mamm"
"VI",65.2151985566434,0.002,326.08,"Satch_mamm"
"Ia",65.7515228824923,0.000755873686034754,328.75736775592,"_SD"
"Ib",192.934705819546,0.00201199618661934,964.672190415992,"_SD"
"II",556.537244169962,0.0049465564843264,2782.68635539368,"_SD"
"III",31.7044457922085,0.000273380398173064,158.522564776359,"_SD"
"IV",1042.57625273981,0.00825448664106995,5212.88128122378,"_SD"
"Not.Applicable",173.034309473313,0.00517497351463686,865.171850348968,"_SD"
"Not.Assigned",871.445743099727,0.00659625092880717,4357.22815749426,"_SD"
"Not.Reported",6959.03272185781,0.0651838452702088,34795.1630855485,"_SD"
"Outside.PA",21732.687196467,0.103758255642793,108663.436192324,"_SD"
"Presence",35237.7575877476,0,176188.787938738,"_SD"
"Protected",6541.22771660058,0.038427828610213,32706.139230142,"_SD"
"Unprotected",29006.3054414774,0.038427828610213,145031.526260238,"_SD"
"V",4825.32594342082,0.0420622881197795,24126.6294045419,"_SD"
"VI",218.938838388211,0.00214657349694293,1094.69342669575,"_SD"
