"IUCNcat","sumCell","SpeciesID","coverage","SSP","coverage_km2"
"II",286.957201937706,"Dendr_atte_ssp126_mean",0.0076,"ssp126",1434.79
"III",14.2527729035281,"Dendr_atte_ssp126_mean",4e-04,"ssp126",71.26
"IV",1261.84541353603,"Dendr_atte_ssp126_mean",0.0334,"ssp126",6309.23
"Not.Applicable",106.20077462496,"Dendr_atte_ssp126_mean",0.0028,"ssp126",531
"Not.Assigned",913.851706639478,"Dendr_atte_ssp126_mean",0.0242,"ssp126",4569.26
"Not.Reported",6315.28935131797,"Dendr_atte_ssp126_mean",0.1671,"ssp126",31576.45
"Outside.PA",21267.8482909058,"Dendr_atte_ssp126_mean",0.5628,"ssp126",106339.24
"Presence",37789,"Dendr_atte_ssp126_mean",1,"ssp126",188945
"Protected",9185.80987651175,"Dendr_atte_ssp126_mean",0.2431,"ssp126",45929.05
"Unprotected",28603.1901234882,"Dendr_atte_ssp126_mean",0.7569,"ssp126",143015.95
"V",7430.20926638635,"Dendr_atte_ssp126_mean",0.1966,"ssp126",37151.05
"VI",164.340147312265,"Dendr_atte_ssp126_mean",0.0043,"ssp126",821.7
"Ia",21.6186450999758,"Dendr_atte_ssp370_mean",6e-04,"ssp370",108.09
"Ib",10.0358152695949,"Dendr_atte_ssp370_mean",3e-04,"ssp370",50.18
"II",289.509123228688,"Dendr_atte_ssp370_mean",0.0079,"ssp370",1447.55
"III",15.3278484558111,"Dendr_atte_ssp370_mean",4e-04,"ssp370",76.64
"IV",1159.5809639462,"Dendr_atte_ssp370_mean",0.0315,"ssp370",5797.9
"Not.Applicable",129.097271653658,"Dendr_atte_ssp370_mean",0.0035,"ssp370",645.49
"Not.Assigned",884.683180100413,"Dendr_atte_ssp370_mean",0.0241,"ssp370",4423.42
"Not.Reported",6220.71838325033,"Dendr_atte_ssp370_mean",0.1692,"ssp370",31103.59
"Outside.PA",20657.3864164999,"Dendr_atte_ssp370_mean",0.562,"ssp370",103286.93
"Presence",36756,"Dendr_atte_ssp370_mean",1,"ssp370",183780
"Protected",8864.11474849574,"Dendr_atte_ssp370_mean",0.2412,"ssp370",44320.57
"Unprotected",27891.8852515043,"Dendr_atte_ssp370_mean",0.7588,"ssp370",139459.43
"V",7209.78266704254,"Dendr_atte_ssp370_mean",0.1962,"ssp370",36048.91
"VI",158.259685452933,"Dendr_atte_ssp370_mean",0.0043,"ssp370",791.3
"Ia",21.4481974749038,"Dendr_atte_ssp585_mean",6e-04,"ssp585",107.24
"Ib",9.34261591799032,"Dendr_atte_ssp585_mean",3e-04,"ssp585",46.71
"II",254.929093879736,"Dendr_atte_ssp585_mean",0.0076,"ssp585",1274.65
"III",13.9572009382545,"Dendr_atte_ssp585_mean",4e-04,"ssp585",69.79
"IV",997.585244028682,"Dendr_atte_ssp585_mean",0.0298,"ssp585",4987.93
"Not.Applicable",122.724661929367,"Dendr_atte_ssp585_mean",0.0037,"ssp585",613.62
"Not.Assigned",846.747581504364,"Dendr_atte_ssp585_mean",0.0253,"ssp585",4233.74
"Not.Reported",5871.21256622625,"Dendr_atte_ssp585_mean",0.1752,"ssp585",29356.06
"Outside.PA",18458.4356203886,"Dendr_atte_ssp585_mean",0.5509,"ssp585",92292.18
"Presence",33507,"Dendr_atte_ssp585_mean",1,"ssp585",167535
"Protected",8207.8795699514,"Dendr_atte_ssp585_mean",0.245,"ssp585",41039.4
"Unprotected",25299.1204300486,"Dendr_atte_ssp585_mean",0.755,"ssp585",126495.6
"V",6772.65518397206,"Dendr_atte_ssp585_mean",0.2021,"ssp585",33863.28
"VI",137.96203373977,"Dendr_atte_ssp585_mean",0.0041,"ssp585",689.81
"Ia",0,"Dendr_illy_ssp126_mean",0,"ssp126",0
"Ib",0,"Dendr_illy_ssp126_mean",0,"ssp126",0
"II",0,"Dendr_illy_ssp126_mean",0,"ssp126",0
"III",0,"Dendr_illy_ssp126_mean",0,"ssp126",0
"IV",0.00663108879234642,"Dendr_illy_ssp126_mean",0.0013,"ssp126",0.03
"Not.Applicable",0,"Dendr_illy_ssp126_mean",0,"ssp126",0
"Not.Assigned",0,"Dendr_illy_ssp126_mean",0,"ssp126",0
"Not.Reported",0.682351421564817,"Dendr_illy_ssp126_mean",0.1365,"ssp126",3.41
"Outside.PA",4.31101748964284,"Dendr_illy_ssp126_mean",0.8622,"ssp126",21.56
"Presence",5,"Dendr_illy_ssp126_mean",1,"ssp126",25
"Protected",0.00663108879234642,"Dendr_illy_ssp126_mean",0.0013,"ssp126",0.03
"Unprotected",4.99336891120765,"Dendr_illy_ssp126_mean",0.9987,"ssp126",24.97
"V",0,"Dendr_illy_ssp126_mean",0,"ssp126",0
"VI",0,"Dendr_illy_ssp126_mean",0,"ssp126",0
"Ia",0,"Dendr_illy_ssp370_mean",0,"ssp370",0
"Ib",0,"Dendr_illy_ssp370_mean",0,"ssp370",0
"II",0,"Dendr_illy_ssp370_mean",0,"ssp370",0
"III",0,"Dendr_illy_ssp370_mean",0,"ssp370",0
"IV",0.0143065078882501,"Dendr_illy_ssp370_mean",0.0014,"ssp370",0.07
"Not.Applicable",0,"Dendr_illy_ssp370_mean",0,"ssp370",0
"Not.Assigned",0,"Dendr_illy_ssp370_mean",0,"ssp370",0
"Not.Reported",0.768012922257185,"Dendr_illy_ssp370_mean",0.0768,"ssp370",3.84
"Outside.PA",9.21768056985456,"Dendr_illy_ssp370_mean",0.9218,"ssp370",46.09
"Presence",10,"Dendr_illy_ssp370_mean",1,"ssp370",50
"Protected",0.0143065078882501,"Dendr_illy_ssp370_mean",0.0014,"ssp370",0.07
"Unprotected",9.98569349211175,"Dendr_illy_ssp370_mean",0.9986,"ssp370",49.93
"V",0,"Dendr_illy_ssp370_mean",0,"ssp370",0
"VI",0,"Dendr_illy_ssp370_mean",0,"ssp370",0
"Ia",0,"Dendr_illy_ssp585_mean",0,"ssp585",0
"Ib",0,"Dendr_illy_ssp585_mean",0,"ssp585",0
"II",0,"Dendr_illy_ssp585_mean",0,"ssp585",0
"III",0.0482390210345329,"Dendr_illy_ssp585_mean",0.0032,"ssp585",0.24
"IV",0.050487112486735,"Dendr_illy_ssp585_mean",0.0034,"ssp585",0.25
"Not.Applicable",0,"Dendr_illy_ssp585_mean",0,"ssp585",0
"Not.Assigned",0,"Dendr_illy_ssp585_mean",0,"ssp585",0
"Not.Reported",4.59172840602696,"Dendr_illy_ssp585_mean",0.3061,"ssp585",22.96
"Outside.PA",8.42742793105208,"Dendr_illy_ssp585_mean",0.5618,"ssp585",42.14
"Presence",15,"Dendr_illy_ssp585_mean",1,"ssp585",75
"Protected",1.98084366292096,"Dendr_illy_ssp585_mean",0.1321,"ssp585",9.9
"Unprotected",13.019156337079,"Dendr_illy_ssp585_mean",0.8679,"ssp585",65.1
"V",1.88211752939969,"Dendr_illy_ssp585_mean",0.1255,"ssp585",9.41
"VI",0,"Dendr_illy_ssp585_mean",0,"ssp585",0
"Ia",129.338650009787,"Dendr_octa_ssp126_mean",0.0016,"ssp126",646.69
"Ib",237.846157854586,"Dendr_octa_ssp126_mean",0.0029,"ssp126",1189.23
"II",1198.54771021393,"Dendr_octa_ssp126_mean",0.0147,"ssp126",5992.74
"III",52.9836222741478,"Dendr_octa_ssp126_mean",7e-04,"ssp126",264.92
"IV",2503.96759582024,"Dendr_octa_ssp126_mean",0.0308,"ssp126",12519.84
"Not.Applicable",384.441097962672,"Dendr_octa_ssp126_mean",0.0047,"ssp126",1922.21
"Not.Assigned",2429.26848487596,"Dendr_octa_ssp126_mean",0.0299,"ssp126",12146.34
